x,y,z
956,64,88.0
957,57,88.0
957,60,88.0
957,64,88.0
958,57,88.0
958,60,88.0
958,64,88.0
959,57,88.0
959,60,88.0
959,64,88.0
960,57,88.0
960,60,88.0
960,64,88.0
961,57,88.0
961,60,88.0
961,64,88.0
962,57,88.0
962,60,88.0
962,64,88.0
963,57,88.0
963,60,88.0
963,64,88.0
964,57,88.0
964,60,88.0
964,64,88.0
965,57,88.0
965,60,88.0
965,64,88.0
966,57,88.0
966,60,88.0
966,64,88.0
967,57,88.0
967,60,88.0
967,64,88.0
968,57,88.0
968,60,88.0
968,64,88.0
969,57,88.0
969,60,88.0
969,64,88.0
970,57,88.0
970,60,88.0
970,64,88.0
971,57,88.0
971,60,88.0
971,64,88.0
972,57,88.0
972,60,88.0
972,64,88.0
973,57,88.0
973,60,88.0
973,64,88.0
974,57,88.0
974,60,88.0
974,64,88.0
975,57,88.0
975,60,88.0
975,64,88.0
976,57,88.0
976,60,88.0
976,64,88.0
977,57,88.0
977,60,88.0
977,64,88.0
978,57,88.0
978,60,88.0
978,64,88.0
979,57,88.0
979,60,88.0
979,64,88.0
980,57,88.0
980,60,88.0
980,64,88.0
981,57,88.0
981,60,88.0
981,64,88.0
982,57,88.0
982,60,88.0
982,64,88.0
983,57,88.0
983,60,88.0
983,64,88.0
1176,61,62.0
1177,61,62.0
1178,61,62.0
1179,61,62.0
1180,61,62.0
1181,61,62.0
1182,61,62.0
1183,61,62.0
1184,61,62.0
1185,61,62.0
1186,61,62.0
1187,61,62.0
1188,61,62.0
1189,61,62.0
1190,61,62.0
1191,61,62.0
1192,61,62.0
1193,61,62.0
1194,61,62.0
1195,61,62.0
1196,61,62.0
1197,61,62.0
1198,61,62.0
1199,61,62.0
1200,66,62.0
1201,66,62.0
1202,66,62.0
1203,66,62.0
1204,66,62.0
1205,66,62.0
1206,66,62.0
1207,66,62.0
1208,66,62.0
1209,66,62.0
1210,66,62.0
1211,66,62.0
1212,66,62.0
1213,66,62.0
1214,66,62.0
1215,66,62.0
1216,66,62.0
1217,66,62.0
1218,66,62.0
1219,66,62.0
1220,66,62.0
1221,66,62.0
1222,66,62.0
1223,66,62.0
1224,68,62.0
1225,68,62.0
1226,68,62.0
1227,68,62.0
1228,68,62.0
1229,68,62.0
1230,68,62.0
1231,68,62.0
1232,68,62.0
1233,68,62.0
1234,68,62.0
1235,68,62.0
1236,68,62.0
1237,68,62.0
1238,68,62.0
1239,68,62.0
1240,68,62.0
1241,68,62.0
1242,68,62.0
1243,68,62.0
1244,68,62.0
1245,68,62.0
1246,68,62.0
1247,68,62.0
1248,66,75.0
1249,66,75.0
1250,66,75.0
1251,68,88.0
1252,68,88.0
1253,68,88.0
1254,68,88.0
1255,68,88.0
1256,68,88.0
1257,68,88.0
1258,68,88.0
1259,68,88.0
1260,68,88.0
1261,68,88.0
1262,68,88.0
1263,68,88.0
1264,68,88.0
1265,68,88.0
1266,68,88.0
1267,68,88.0
1268,68,88.0
1269,68,88.0
1270,68,88.0
1271,68,88.0
1272,68,88.0
1273,68,88.0
1274,68,88.0
1275,68,88.0
1276,68,88.0
1277,68,88.0
1278,68,88.0
1279,68,88.0
1280,68,88.0
1281,68,88.0
1282,68,88.0
1283,68,88.0
1284,68,114.0
1285,68,114.0
1286,68,114.0
1287,68,114.0
1288,68,114.0
1289,68,114.0
1290,68,114.0
1291,68,114.0
1292,68,114.0
1293,68,114.0
1294,68,114.0
1295,68,114.0
1296,68,114.0
1297,68,114.0
1298,68,114.0
1299,68,114.0
1300,68,114.0
1301,68,114.0
1302,68,114.0
1303,68,114.0
1304,68,114.0
1305,68,114.0
1306,68,114.0
1307,68,114.0
1308,68,114.0
1309,68,114.0
1310,68,114.0
1311,68,114.0
1312,68,114.0
1313,68,114.0
1314,68,114.0
1315,68,114.0
1316,68,114.0
1317,68,114.0
1318,68,114.0
1319,68,114.0
1392,66,75.0
1393,66,75.0
1394,66,75.0
1395,68,88.0
1396,68,88.0
1397,68,88.0
1398,68,88.0
1399,68,88.0
1400,68,88.0
1401,68,88.0
1402,68,88.0
1403,68,88.0
1404,68,88.0
1405,68,88.0
1406,68,88.0
1407,68,88.0
1408,68,88.0
1409,68,88.0
1410,68,88.0
1411,68,88.0
1412,68,88.0
1413,68,88.0
1414,68,88.0
1415,68,88.0
1416,68,88.0
1417,68,88.0
1418,68,88.0
1419,68,88.0
1420,68,88.0
1421,68,88.0
1422,68,88.0
1423,68,88.0
1424,68,88.0
1425,68,88.0
1426,68,88.0
1427,68,88.0
1428,68,114.0
1429,68,114.0
1430,68,114.0
1431,68,114.0
1432,68,114.0
1433,68,114.0
1434,68,114.0
1435,68,114.0
1436,68,114.0
1437,68,114.0
1438,68,114.0
1439,68,114.0
1440,68,114.0
1441,68,114.0
1442,68,114.0
1443,68,114.0
1444,68,114.0
1445,68,114.0
1446,68,114.0
1447,68,114.0
1448,68,114.0
1449,68,114.0
1450,68,114.0
1451,68,114.0
1452,68,114.0
1453,68,114.0
1454,68,114.0
1455,68,114.0
1456,68,114.0
1457,68,114.0
1458,68,114.0
1459,68,114.0
1460,68,114.0
1461,68,114.0
1462,68,114.0
1463,68,114.0
1536,66,75.0
1537,66,75.0
1538,66,75.0
1539,68,88.0
1540,68,88.0
1541,68,88.0
1542,68,88.0
1543,68,88.0
1544,68,88.0
1545,68,88.0
1546,68,88.0
1547,68,88.0
1548,68,88.0
1549,68,88.0
1550,68,88.0
1551,68,88.0
1552,68,88.0
1553,68,88.0
1554,68,88.0
1555,68,88.0
1556,68,88.0
1557,68,88.0
1558,68,88.0
1559,68,88.0
1560,68,88.0
1561,68,88.0
1562,68,88.0
1563,68,88.0
1564,68,88.0
1565,68,88.0
1566,68,88.0
1567,68,88.0
1568,68,88.0
1569,68,88.0
1570,68,88.0
1571,68,88.0
1572,68,114.0
1573,68,114.0
1574,68,114.0
1575,68,114.0
1576,68,114.0
1577,68,114.0
1578,68,114.0
1579,68,114.0
1580,68,114.0
1581,68,114.0
1582,68,114.0
1583,68,114.0
1584,68,114.0
1585,68,114.0
1586,68,114.0
1587,68,114.0
1588,68,114.0
1589,68,114.0
1590,68,114.0
1591,68,114.0
1592,68,114.0
1593,68,114.0
1594,68,114.0
1595,68,114.0
1596,68,114.0
1597,68,114.0
1598,68,114.0
1599,68,114.0
1600,68,114.0
1601,68,114.0
1602,68,114.0
1603,68,114.0
1604,68,114.0
1605,68,114.0
1606,68,114.0
1607,68,114.0
1608,61,62.0
1609,61,62.0
1610,61,62.0
1611,61,62.0
1612,61,62.0
1613,61,62.0
1614,61,62.0
1615,61,62.0
1616,61,62.0
1617,61,62.0
1618,61,62.0
1619,61,62.0
1620,66,62.0
1621,66,62.0
1622,66,62.0
1623,66,62.0
1624,66,62.0
1625,66,62.0
1626,66,62.0
1627,66,62.0
1628,66,62.0
1629,66,62.0
1630,66,62.0
1631,66,62.0
1632,68,75.0
1633,68,75.0
1634,68,75.0
1635,68,75.0
1636,68,75.0
1637,68,75.0
1638,68,75.0
1639,68,75.0
1640,68,75.0
1641,68,75.0
1642,68,75.0
1643,68,75.0
1644,59,75.0
1645,59,75.0
1646,59,75.0
1647,59,75.0
1648,59,75.0
1649,59,75.0
1650,59,75.0
1651,59,75.0
1652,59,75.0
1653,59,75.0
1654,59,75.0
1655,59,75.0
1656,61,88.0
1657,61,88.0
1658,61,88.0
1659,61,88.0
1660,61,88.0
1661,61,88.0
1662,61,88.0
1663,61,88.0
1664,61,88.0
1665,61,88.0
1666,61,88.0
1667,61,88.0
1668,66,88.0
1669,66,88.0
1670,66,88.0
1671,66,88.0
1672,66,88.0
1673,66,88.0
1674,66,88.0
1675,66,88.0
1676,66,88.0
1677,66,88.0
1678,66,88.0
1679,66,88.0
1680,54,75.0
1681,54,75.0
1682,54,75.0
1683,56,88.0
1684,56,88.0
1685,56,88.0
1686,56,88.0
1687,56,88.0
1688,56,88.0
1689,56,88.0
1690,56,88.0
1691,56,88.0
1692,56,88.0
1693,56,88.0
1694,56,88.0
1695,56,88.0
1696,56,88.0
1697,56,88.0
1698,56,88.0
1699,56,88.0
1700,56,88.0
1701,56,88.0
1702,56,88.0
1703,56,88.0
1704,56,88.0
1705,56,88.0
1706,56,88.0
1707,56,88.0
1708,56,88.0
1709,56,88.0
1710,56,88.0
1711,56,88.0
1712,56,88.0
1713,56,88.0
1714,56,88.0
1715,56,88.0
1716,56,114.0
1717,56,114.0
1718,56,114.0
1719,56,114.0
1720,56,114.0
1721,56,114.0
1722,56,114.0
1723,56,114.0
1724,56,114.0
1725,56,114.0
1726,56,114.0
1727,56,114.0
1728,56,114.0
1729,56,114.0
1730,56,114.0
1731,56,114.0
1732,56,114.0
1733,56,114.0
1734,56,114.0
1735,56,114.0
1736,56,114.0
1737,56,114.0
1738,56,114.0
1739,56,114.0
1740,56,114.0
1741,56,114.0
1742,56,114.0
1743,56,114.0
1744,56,114.0
1745,56,114.0
1746,56,114.0
1747,56,114.0
1748,56,114.0
1749,56,114.0
1750,56,114.0
1751,56,114.0
1752,63,88.0
1752,70,88.0
1753,63,88.0
1753,70,88.0
1754,63,88.0
1754,70,88.0
1755,65,88.0
1755,68,88.0
1756,65,88.0
1756,68,88.0
1757,65,88.0
1757,68,88.0
1758,63,88.0
1758,70,88.0
1759,63,88.0
1759,70,88.0
1760,63,88.0
1760,70,88.0
1761,65,88.0
1761,68,88.0
1762,65,88.0
1762,68,88.0
1763,65,88.0
1763,68,88.0
1764,63,88.0
1764,70,88.0
1765,63,88.0
1765,70,88.0
1766,63,88.0
1766,70,88.0
1767,65,88.0
1767,68,88.0
1768,65,88.0
1768,68,88.0
1769,65,88.0
1769,68,88.0
1770,63,75.0
1770,70,75.0
1771,63,75.0
1771,70,75.0
1772,63,75.0
1772,70,75.0
1773,65,75.0
1773,68,75.0
1774,65,75.0
1774,68,75.0
1775,65,75.0
1775,68,75.0
1776,63,75.0
1776,70,75.0
1777,63,75.0
1777,70,75.0
1778,63,75.0
1778,70,75.0
1779,65,75.0
1779,68,75.0
1780,65,75.0
1780,68,75.0
1781,65,75.0
1781,68,75.0
1782,63,75.0
1782,70,75.0
1783,63,75.0
1783,70,75.0
1784,63,75.0
1784,70,75.0
1785,65,75.0
1785,68,75.0
1786,65,75.0
1786,68,75.0
1787,65,75.0
1787,68,75.0
1788,63,62.0
1788,70,62.0
1789,63,62.0
1789,70,62.0
1790,63,62.0
1790,70,62.0
1791,65,62.0
1791,68,62.0
1792,65,62.0
1792,68,62.0
1793,65,62.0
1793,68,62.0
1794,63,62.0
1794,70,62.0
1795,63,62.0
1795,70,62.0
1796,63,62.0
1796,70,62.0
1797,65,62.0
1797,68,62.0
1798,65,62.0
1798,68,62.0
1799,65,62.0
1799,68,62.0
1800,63,62.0
1800,70,62.0
1801,63,62.0
1801,70,62.0
1802,63,62.0
1802,70,62.0
1803,65,62.0
1803,68,62.0
1804,65,62.0
1804,68,62.0
1805,65,62.0
1805,68,62.0
1806,63,62.0
1806,70,62.0
1807,63,62.0
1807,70,62.0
1808,63,62.0
1808,70,62.0
1809,65,62.0
1809,68,62.0
1810,65,62.0
1810,68,62.0
1811,65,62.0
1811,68,62.0
1812,63,62.0
1812,70,62.0
1813,63,62.0
1813,70,62.0
1814,63,62.0
1814,70,62.0
1815,65,62.0
1815,68,62.0
1816,65,62.0
1816,68,62.0
1817,65,62.0
1817,68,62.0
1818,63,62.0
1818,70,62.0
1819,63,62.0
1819,70,62.0
1820,63,62.0
1820,70,62.0
1821,65,62.0
1821,68,62.0
1822,65,62.0
1822,68,62.0
1823,65,62.0
1823,68,62.0
1824,63,49.0
1825,63,49.0
1826,63,49.0
1827,65,49.0
1828,65,49.0
1829,65,49.0
1830,63,49.0
1831,63,49.0
1832,63,49.0
1833,65,49.0
1834,65,49.0
1835,65,49.0
1836,63,49.0
1837,63,49.0
1838,63,49.0
1839,65,49.0
1840,65,49.0
1841,65,49.0
1842,63,49.0
1843,63,49.0
1844,63,49.0
1845,65,49.0
1846,65,49.0
1847,65,49.0
1848,63,49.0
1849,63,49.0
1850,63,49.0
1851,65,49.0
1852,65,49.0
1853,65,49.0
1854,63,49.0
1855,63,49.0
1856,63,49.0
1857,65,49.0
1858,63,49.0
1858,65,49.0
1859,63,49.0
1859,65,49.0
1859,70,49.0
1860,63,49.0
1860,70,49.0
1860,75,75.0
1861,63,49.0
1861,70,49.0
1861,75,75.0
1862,63,49.0
1862,70,49.0
1862,75,75.0
1863,65,75.0
1864,63,75.0
1864,65,75.0
1865,63,75.0
1865,65,75.0
1865,68,75.0
1866,63,75.0
1866,68,75.0
1866,73,75.0
1867,63,75.0
1867,68,75.0
1867,73,75.0
1868,63,75.0
1868,68,75.0
1868,73,75.0
1869,65,75.0
1870,63,75.0
1870,65,75.0
1871,63,75.0
1871,65,75.0
1872,63,75.0
1872,68,62.0
1873,63,75.0
1873,68,62.0
1874,63,75.0
1874,68,62.0
1875,65,62.0
1876,65,62.0
1877,65,62.0
1878,63,62.0
1879,63,62.0
1880,63,62.0
1881,65,62.0
1882,65,62.0
1883,65,62.0
1884,63,49.0
1885,63,49.0
1886,63,49.0
1887,65,49.0
1888,65,49.0
1889,65,49.0
1890,63,49.0
1891,63,49.0
1892,63,49.0
1893,65,49.0
1894,65,49.0
1895,65,49.0
1896,63,49.0
1896,70,49.0
1897,63,49.0
1897,70,49.0
1898,63,49.0
1898,70,49.0
1899,65,49.0
1899,68,49.0
1900,65,49.0
1900,68,49.0
1901,65,49.0
1901,68,49.0
1902,63,49.0
1903,63,49.0
1904,63,49.0
1905,65,49.0
1906,65,49.0
1907,65,49.0
1908,63,49.0
1909,63,49.0
1910,63,49.0
1911,65,49.0
1912,65,49.0
